Model,MDO4024C
Firmware Version,1.02

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.2,,,
Horizontal Delay,0,,,
Sample Interval,0.0002,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,10,10,10
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.05,0.05,1
Vertical Position,0,0,0,0
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.000000e+00,-0.0105,-0.0589141,0.00185156,1.01516
-9.998000e-01,-0.0123438,-0.0678906,0.00141406,1.51562
-9.996000e-01,-0.00905469,-0.0498672,0.00150781,1.43969
-9.994000e-01,-0.00249219,-0.0111797,0.00260156,0.816875
-9.992000e-01,0.00414063,0.0276328,0.00396094,-0.0982813
-9.990000e-01,0.00877344,0.0567031,0.00492188,-0.971562
-9.988000e-01,0.0104922,0.0636562,0.00460937,-1.46719
-9.986000e-01,0.00919531,0.0502891,0.00310938,-1.39109
-9.984000e-01,0.00244531,0.0157656,0.00204688,-0.768594
-9.982000e-01,-0.00421094,-0.0247188,0.00114844,0.141875
-9.980000e-01,-0.00899219,-0.0567422,0.000320313,1.01656
-9.978000e-01,-0.0106953,-0.065,-0.000140625,1.51656
-9.976000e-01,-0.00752344,-0.0477344,-0.000148437,1.44172
-9.974000e-01,-0.00105469,-0.0109766,0.000625,0.817344
-9.972000e-01,0.00604688,0.0270156,0.00154688,-0.0976562
-9.970000e-01,0.0101484,0.0559844,0.0024375,-0.9725
-9.968000e-01,0.0112344,0.0631953,0.00328125,-1.46938
-9.966000e-01,0.00815625,0.0509375,0.00388281,-1.39297
-9.964000e-01,0.000984375,0.0151484,0.00372656,-0.769687
-9.962000e-01,-0.00585938,-0.0262656,0.00275781,0.140781
-9.960000e-01,-0.0104141,-0.0588203,0.00133594,1.01531
-9.958000e-01,-0.0124531,-0.0675703,0.0009375,1.51516
-9.956000e-01,-0.00925,-0.0495078,0.00109375,1.43969
-9.954000e-01,-0.00255469,-0.0107891,0.00253906,0.815312
-9.952000e-01,0.00401563,0.0277969,0.00317188,-0.0996875
-9.950000e-01,0.00844531,0.0568828,0.00408594,-0.97125
-9.948000e-01,0.0104688,0.0635391,0.004,-1.46969
-9.946000e-01,0.008875,0.0502969,0.00284375,-1.39312
-9.944000e-01,0.00228906,0.0155547,0.00180469,-0.770156
-9.942000e-01,-0.00433594,-0.0248828,0.000625,0.141406
-9.940000e-01,-0.00907812,-0.0567812,-0.000164063,1.01609
-9.938000e-01,-0.0112734,-0.0647969,-0.00034375,1.51703
-9.936000e-01,-0.00778906,-0.0472578,-0.000273438,1.44141
-9.934000e-01,-0.00124219,-0.0106563,0.000554688,0.817969
-9.932000e-01,0.005625,0.0274141,0.00115625,-0.0971875
-9.930000e-01,0.0101641,0.0562578,0.00198438,-0.970469
-9.928000e-01,0.0108125,0.0637109,0.00265625,-1.46906
-9.926000e-01,0.00804688,0.0510859,0.00332031,-1.39234
-9.924000e-01,0.000585937,0.0153906,0.00333594,-0.769844
-9.922000e-01,-0.00592969,-0.0258828,0.00232812,0.140937
