Model,MDO4024C
Firmware Version,1.02

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.2,,,
Horizontal Delay,0,,,
Sample Interval,0.0002,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,10,10,10
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.05,0.05,1
Vertical Position,0,0,0,0
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.000000e+00,-0.00249219,-0.0159375,0.00207813,0.494688
-9.998000e-01,-0.0063125,-0.03625,0.00139062,1.49297
-9.996000e-01,-0.00596875,-0.0292188,0.001375,1.41672
-9.994000e-01,-0.000929688,-0.000742188,0.00202344,0.325625
-9.992000e-01,0.00316406,0.0275781,0.00282031,-0.9725
-9.990000e-01,0.00434375,0.0357578,0.00289844,-1.56297
-9.988000e-01,0.0026875,0.0225859,0.00304688,-0.991094
-9.986000e-01,-0.00219531,-0.0117188,0.00220313,0.303125
-9.984000e-01,-0.0063125,-0.0352266,0.00115625,1.405
-9.982000e-01,-0.00625781,-0.0315156,0.00123438,1.50031
-9.980000e-01,-0.00178125,-0.00592969,0.00177344,0.515938
-9.978000e-01,0.00236719,0.0248828,0.00278906,-0.809063
-9.976000e-01,0.00435938,0.0366797,0.0035625,-1.54859
-9.974000e-01,0.00375781,0.0258125,0.0036875,-1.13609
-9.972000e-01,-0.0016875,-0.00682031,0.00280469,0.1075
-9.970000e-01,-0.00603906,-0.0331875,0.00188281,1.29625
-9.968000e-01,-0.00603125,-0.0335312,0.00174219,1.56203
-9.966000e-01,-0.00222656,-0.0109688,0.00175781,0.696875
-9.964000e-01,0.00167969,0.0214219,0.00292187,-0.6325
-9.962000e-01,0.00469531,0.0362969,0.00347656,-1.50969
-9.960000e-01,0.0043125,0.0285078,0.00378906,-1.26344
-9.958000e-01,-0.00114844,-0.001375,0.00284375,-0.086875
-9.956000e-01,-0.00552344,-0.0306875,0.00192969,1.16656
-9.954000e-01,-0.00623438,-0.0350234,0.00120312,1.59875
-9.952000e-01,-0.0033125,-0.0156719,0.001375,0.874219
-9.950000e-01,0.000640625,0.0175859,0.00239062,-0.448906
-9.948000e-01,0.00466406,0.0357734,0.00308594,-1.44469
-9.946000e-01,0.00442969,0.0306406,0.00335937,-1.36734
-9.944000e-01,-0.00053125,0.00454687,0.00279687,-0.279531
-9.942000e-01,-0.00475,-0.0273594,0.0016875,1.01906
-9.940000e-01,-0.00615625,-0.0362188,0.00124219,1.61031
-9.938000e-01,-0.00411719,-0.0194141,0.00122656,1.03609
-9.936000e-01,0,0.0136562,0.00216406,-0.257656
-9.934000e-01,0.00409375,0.0347187,0.00288281,-1.35875
-9.932000e-01,0.004125,0.03225,0.00302344,-1.4525
-9.930000e-01,-0.000132813,0.00954687,0.00289844,-0.469062
-9.928000e-01,-0.00410938,-0.0240078,0.00151563,0.855938
-9.926000e-01,-0.00678125,-0.0372813,0.00126563,1.59688
-9.924000e-01,-0.00535156,-0.0235234,0.00116406,1.18172
-9.922000e-01,-0.000296875,0.00944531,0.00176563,-0.0629688
