Model,MDO4024C
Firmware Version,1.02

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.1,,,
Horizontal Delay,0,,,
Sample Interval,0.0001,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,10,10,10
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.5,0.5,0.5,1
Vertical Position,2.08,-0.1,-2.04,-2.96
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.000000e-01,-0.0266406,-0.000703125,0.0396094,0.381875
-4.999000e-01,-0.0289844,0.00164062,0.0391406,0.37875
-4.998000e-01,-0.0258594,0.000859375,0.0389844,0.372031
-4.997000e-01,-0.02125,-0.003125,0.0383594,0.37
-4.996000e-01,-0.024375,-0.00304687,0.0386719,0.368281
-4.995000e-01,-0.0264844,0.000234375,0.0395313,0.365781
-4.994000e-01,-0.0254687,0,0.0389063,0.362969
-4.993000e-01,-0.0221094,-0.00101562,0.0390625,0.360937
-4.992000e-01,-0.0246094,-0.0025,0.0388281,0.357656
-4.991000e-01,-0.0260156,-0.000234375,0.0390625,0.354219
-4.990000e-01,-0.02625,0.00015625,0.039375,0.351094
-4.989000e-01,-0.0245313,-0.000703125,0.0396094,0.347969
-4.988000e-01,-0.023125,-0.0021875,0.0396875,0.345469
-4.987000e-01,-0.0246094,-0.00257813,0.0391406,0.342031
-4.986000e-01,-0.0260938,-0.00132812,0.0392187,0.339687
-4.985000e-01,-0.0266406,-0.0015625,0.0389063,0.335938
-4.984000e-01,-0.0264844,-0.00046875,0.0391406,0.331875
-4.983000e-01,-0.0272656,0.00078125,0.039375,0.329531
-4.982000e-01,-0.0255469,-0.00015625,0.0396875,0.326875
-4.981000e-01,-0.0225781,-0.0021875,0.039375,0.322656
-4.980000e-01,-0.0232031,-0.0025,0.0396094,0.319531
-4.979000e-01,-0.0265625,0.00015625,0.0395313,0.3175
-4.978000e-01,-0.0266406,0.0015625,0.0397656,0.31375
-4.977000e-01,-0.0234375,7.8125e-05,0.0398437,0.311094
-4.976000e-01,-0.0220312,-0.00125,0.0395313,0.308281
-4.975000e-01,-0.0241406,-0.001875,0.0389844,0.305
-4.974000e-01,-0.026875,-0.0003125,0.0383594,0.298281
-4.973000e-01,-0.0257813,0.000546875,0.0388281,0.295625
-4.972000e-01,-0.0254687,-0.00015625,0.0386719,0.292344
-4.971000e-01,-0.0251562,-0.00101562,0.0389844,0.286094
-4.970000e-01,-0.0248438,-0.000859375,0.039375,0.280625
-4.969000e-01,-0.0260156,-0.000390625,0.0391406,0.275781
-4.968000e-01,-0.0265625,0.000390625,0.0392969,0.271562
-4.967000e-01,-0.0271094,0.000546875,0.0392187,0.266875
-4.966000e-01,-0.0264062,-7.8125e-05,0.0396094,0.262031
-4.965000e-01,-0.0253125,-0.000859375,0.0391406,0.258594
-4.964000e-01,-0.0253125,-0.000390625,0.0394531,0.254219
-4.963000e-01,-0.0269531,0.000234375,0.0394531,0.249844
-4.962000e-01,-0.0258594,0.0009375,0.0397656,0.245625
-4.961000e-01,-0.0242187,0.000234375,0.0396094,0.240625
